    PID TTY          TIME CMD
   2564 ?        00:00:00 at-spi-bus-laun
   2576 ?        00:00:00 dbus-daemon
   2592 ?        00:00:00 gvfsd
   2602 ?        00:00:00 gvfsd-fuse
   2654 ?        00:00:00 lightdm
   2656 ?        00:00:00 at-spi2-registr
   3007 ?        00:00:01 systemd
   3008 ?        00:00:00 (sd-pam)
   3038 ?        00:00:00 pipewire
   3039 ?        00:00:03 wireplumber
   3042 ?        00:00:00 pipewire-pulse
   3047 ?        00:00:00 dbus-daemon
   3266 ?        00:00:00 cfg80211
   3303 ?        00:00:00 sshd
   3306 ?        00:00:01 systemd
   3307 ?        00:00:00 (sd-pam)
   3322 ?        00:00:00 pipewire
   3323 ?        00:00:03 wireplumber
   3324 ?        00:00:00 pipewire-pulse
   3330 ?        00:00:00 dbus-daemon
   3331 ?        00:00:00 sshd
   3605 ?        00:00:45 systemd-journal
  89942 ?        01:16:24 netdata
  89946 ?        00:00:11 spawn-plugins
  90270 ?        00:00:50 NETWORK-VIEWER
  90284 ?        00:54:22 go.d.plugin
  90288 ?        00:00:11 spawn-setns
  90313 ?        00:01:20 ebpf.plugin
  90316 ?        00:01:13 python3
 109042 ?        00:00:00 sshd
 109047 ?        00:00:01 systemd
 109048 ?        00:00:00 (sd-pam)
 109064 ?        00:00:00 pipewire
 109065 ?        00:00:02 wireplumber
 109066 ?        00:00:00 pipewire-pulse
 109072 ?        00:00:00 dbus-daemon
 109073 ?        00:00:02 sshd
 109107 pts/18   00:00:03 ssh
 124451 ?        00:00:00 colord
 124585 ?        00:00:01 systemd
 124586 ?        00:00:00 (sd-pam)
 124601 ?        00:00:00 pipewire
 124602 ?        00:00:02 wireplumber
 124603 ?        00:00:00 pipewire-pulse
 124606 ?        00:00:00 dbus-daemon
 133286 ?        00:00:00 mathlm
 133784 ?        00:00:00 sshd
 133850 ?        00:00:01 systemd
 133851 ?        00:00:00 (sd-pam)
 133866 ?        00:00:00 pipewire
 133867 ?        00:00:02 wireplumber
 133868 ?        00:00:00 pipewire-pulse
 133873 ?        00:00:00 dbus-daemon
 133875 ?        00:00:00 sshd
 152774 ?        00:00:00 sshd
 152777 ?        00:00:00 sshd
 152780 ?        00:00:01 systemd
 152781 ?        00:00:00 (sd-pam)
 152796 ?        00:00:00 pipewire
 152797 ?        00:00:02 wireplumber
 152798 ?        00:00:00 pipewire-pulse
 152801 ?        00:00:00 dbus-daemon
 152805 ?        00:00:48 sshd
 152820 ?        00:00:00 sshd
 152835 ?        00:00:00 sftp-server
 152860 pts/34   00:00:26 ssh
 160323 ?        01:05:26 apps.plugin
 273187 ?        00:00:00 sshd
 273194 ?        00:00:00 sshd
 325985 ?        00:00:00 systemd
 325986 ?        00:00:00 (sd-pam)
 326002 ?        00:00:00 pipewire
 326003 ?        00:00:01 wireplumber
 326004 ?        00:00:00 pipewire-pulse
 326009 ?        00:00:00 dbus-daemon
 340580 ?        00:00:00 cupsd
 340596 ?        00:00:00 cups-browsed
 340604 ?        00:00:06 apache2
 340605 ?        00:00:06 apache2
 340606 ?        00:00:06 apache2
 340607 ?        00:00:06 apache2
 340608 ?        00:00:06 apache2
 340630 ?        00:00:06 apache2
 352319 ?        00:00:00 client
 352321 ?        00:00:00 client
 370247 pts/9    00:00:00 server
 413964 ?        00:00:05 debugfs.plugin
 413966 ?        00:00:04 nfacct.plugin
 427281 ?        00:00:00 systemd
 427282 ?        00:00:00 (sd-pam)
 427298 ?        00:00:00 pipewire
 427299 ?        00:00:00 wireplumber
 427300 ?        00:00:00 pipewire-pulse
 427306 ?        00:00:00 dbus-daemon
 434953 ?        00:00:00 sh
 434957 ?        00:00:15 node
 434983 ?        00:00:03 node
 434989 ?        00:00:43 node
 435007 ?        00:00:01 node
 437715 ?        00:00:03 node
 437716 ?        00:00:04 node
 437730 ?        00:00:00 node
 445837 ?        00:00:00 kworker/2:1-cgroup_destroy
 454960 ?        00:00:00 sshd
 454967 ?        00:00:00 sshd
 457469 ?        00:00:00 sshd
 457473 ?        00:00:00 systemd
 457474 ?        00:00:00 (sd-pam)
 457490 ?        00:00:00 pipewire
 457491 ?        00:00:00 wireplumber
 457492 ?        00:00:00 pipewire-pulse
 457497 ?        00:00:00 dbus-daemon
 457499 ?        00:00:00 sshd
 459240 ?        00:00:00 kworker/5:1-cgwb_release
 460903 ?        00:00:00 sshd
 460906 ?        00:00:00 systemd
 460907 ?        00:00:00 (sd-pam)
 460922 ?        00:00:00 pipewire
 460923 ?        00:00:00 wireplumber
 460924 ?        00:00:00 pipewire-pulse
 460930 ?        00:00:00 dbus-daemon
 460931 ?        00:00:00 sshd
 461086 ?        00:00:00 sshd
 461094 ?        00:00:00 sshd
 461099 ?        00:00:00 systemd
 461100 ?        00:00:00 (sd-pam)
 461116 ?        00:00:00 pipewire
 461117 ?        00:00:00 wireplumber
 461118 ?        00:00:00 pipewire-pulse
 461124 ?        00:00:00 dbus-daemon
 461125 ?        00:00:00 sshd
 461309 ?        00:00:00 systemd
 461310 ?        00:00:00 (sd-pam)
 461325 ?        00:00:00 pipewire
 461326 ?        00:00:00 wireplumber
 461327 ?        00:00:00 pipewire-pulse
 461332 ?        00:00:00 dbus-daemon
 461334 ?        00:00:01 sshd
 466219 ?        00:00:00 sshd
 466220 ?        00:00:00 sshd
 466229 ?        00:00:00 sshd
 466234 ?        00:00:00 sshd
 466235 ?        00:00:00 sh
 466255 ?        00:00:00 code-65edc49398
 466355 ?        00:00:00 kworker/6:1-cgroup_destroy
 466501 ?        00:00:00 sshd
 466508 ?        00:00:00 sshd
 466563 ?        00:00:00 sshd
 466570 ?        00:00:00 sshd
 466599 ?        00:00:00 kworker/4:3-events
 466600 ?        00:00:00 kworker/3:0-events
 468182 ?        00:00:00 kworker/3:2
 468465 ?        00:00:00 sshd
 468472 ?        00:00:00 sshd
 468541 ?        00:00:00 kworker/0:0-events
 468555 ?        00:00:00 kworker/1:5-mm_percpu_wq
 468616 ?        00:00:00 kworker/7:2-events
 468617 ?        00:00:00 kworker/7:4-mm_percpu_wq
 468619 ?        00:00:00 kworker/2:2-events
 468620 ?        00:00:00 kworker/4:0-events
 468874 ?        00:00:00 sshd
 468879 ?        00:00:00 systemd
 468880 ?        00:00:00 (sd-pam)
 468895 ?        00:00:00 pipewire
 468896 ?        00:00:00 wireplumber
 468897 ?        00:00:00 pipewire-pulse
 468903 ?        00:00:00 dbus-daemon
 468904 ?        00:00:02 sshd
 468911 ?        00:00:00 sftp-server
 469008 ?        00:00:05 kworker/u16:5-nfsiod
 469011 ?        00:00:00 sshd
 469018 ?        00:02:27 sshd
 469019 ?        00:00:21 sftp-server
 469021 ?        00:00:00 sshd
 469028 ?        00:01:34 sshd
 469029 ?        00:00:14 sftp-server
 469033 ?        00:00:06 kworker/u16:11-nfsiod
 469107 ?        00:00:05 kworker/u16:14-nfsiod
 469110 ?        00:00:03 kworker/u16:17-nfsiod
 469116 ?        00:00:04 kworker/u16:23-nfsiod
 469331 ?        00:00:00 sshd
 469338 ?        00:00:00 systemd
 469339 ?        00:00:00 (sd-pam)
 469354 ?        00:00:00 pipewire
